,mileage,s_max,s_min
561,35.25986304,1,-0.996821428
562,47.97798499,1.005608161,-1
563,36.5751825,1.22125564,-1.008559131
564,28.55533044,1,-1.062859562
565,35.02007212,1,-0.998614726
566,29.74206552,1,-1
567,26.19682706,1,-1
568,24.92202694,1.000105049,-1
569,31.30196608,1,-1
570,30.06858998,1,-1.006085988
571,32.22209968,1.004226465,-1
572,32.02580991,1,-1
573,29.09408116,1.000322196,-1
574,36.42877092,1,-1
575,31.18917467,1,-1
576,29.60423137,1,-1
577,26.8381942,1,-1
578,26.8191083,1.000315216,-1
579,30.76454659,1,-1
580,27.77152016,1,-1
581,36.08832371,1,-1
582,38.60588893,1,-1
583,33.30236661,1.001348753,-1.003653648
584,32.14815358,0.981270737,-1
585,18.52266859,1.004134632,-1
586,30.08140857,1,-1
587,30.33612596,1,-1
588,34.15113039,1,-0.901650402
589,28.88313485,1,-1
590,31.70815437,1,-1
591,36.86801631,1,-1
592,31.2538478,1,-1
593,38.07030858,1,-1
594,33.84391475,1,-1
595,36.37624718,1,-1
596,36.87397405,1,-1.005341025
597,33.20976955,1,-0.905179341
598,36.58549024,1,-1
599,37.75508596,1,-1
600,35.70456997,1,-1
601,33.14297331,1,-1
602,34.57587177,1,-1
603,32.45349965,1,-1
604,31.72181619,1,-1
605,36.5004491,1,-1
606,32.18638255,1,-1
607,34.88266073,1.027323567,-1
608,35.34304921,0.870293359,-1
609,38.88597865,1,-1
610,36.63511568,1,-1
611,31.37183864,1,-1
612,30.86877092,1,-1
613,32.20728171,1,-1
614,32.92288766,1.005030644,-1
615,30.04631741,1,-1
616,39.29748233,1,-1
617,32.18662486,1.003172386,-1
618,30.52089327,0.971620929,-1.007326673
619,36.80970488,1,-1
620,33.29205048,1,-1
621,29.55072005,1,-1
622,33.6905777,1.000109159,-1
623,32.53410412,1,-1
624,28.74998315,1,-1
625,39.44798133,1,-1
626,38.6147324,1,-1
627,29.84447091,1,-1
628,35.48549298,1,-1
629,22.5749082,1,-1.00057697
630,36.59018057,1,-1
631,38.28173933,1,-1
632,35.31712442,1,-1
633,35.47795444,1.031383849,-1
634,35.72823363,1.000064709,-1.000396054
635,40.76646997,1.000070755,-1
636,39.17084703,1.00903189,-1
637,34.07752777,1,-0.679347396
638,39.58539217,1,-0.987367078
639,36.61906462,1,-0.960943521
640,34.42124294,1,-1
641,40.06381248,1,-1
642,29.99457165,1,-1
643,37.00578074,1,-1
644,36.36271384,1,-1
645,33.77821654,1,-1
646,31.59883212,1,-1
647,29.32634873,1,-1
648,30.2261171,1,-1
649,32.54208636,1,-1
650,31.9444284,1,-0.975126831
651,36.15753771,1,-0.893748582
652,32.12267577,1,-1
653,29.64161122,1,-1
654,36.38698973,1.000301066,-1
655,32.66085319,1,-1
656,35.61730391,1,-1
657,40.63642291,1,-0.999999879
658,34.23734985,1,-1
659,36.6177635,1.005370353,-1
660,33.38124873,1,-1
661,34.66143648,1,-1
662,30.19954919,1,-1
663,35.94284813,1,-0.997327529
664,28.88745916,1,-1
665,38.43424017,1,-0.998478024
666,35.15580254,1.007648083,-1.051373941
667,31.13700377,1,-1.022291066
668,31.57230516,1,-1
669,29.89785411,1.000133208,-1
